time = 	1
x	y	z	u*	u	|u* - u|
1,4	1,4	1,4	0,169967142900241	0,159139976375839	0,0108271665244019
			0,169967142900241	0,159139976375067	0,0108271665251744
			0,169967142900241	0,159139976375187	0,0108271665250543
1,4	2,4	1,4	-0,737393715541245	-0,640443279492766	0,0969504360484796
			0,169967142900241	0,159139976369968	0,0108271665302727
			0,169967142900241	0,16146070694593	0,00850643595431058
1,4	3,4	1,4	-0,966798192579461	-0,848706636969927	0,118091555609534
			0,169967142900241	0,159139976376424	0,0108271665238173
			0,169967142900241	0,161752815993237	0,00821432690700377
2,4	1,4	1,4	0,169967142900241	0,159139976372726	0,010827166527515
			0,169967142900241	0,16146070695	0,00850643595024089
			-0,737393715541245	-0,640443279491719	0,0969504360495266
2,4	2,4	1,4	-0,737393715541245	-0,640443279491763	0,0969504360494821
			0,169967142900241	0,161460706943674	0,00850643595656744
			-0,737393715541245	-0,632070320582176	0,10532339495907
2,4	3,4	1,4	-0,966798192579461	-0,848706636961696	0,118091555617765
			0,169967142900241	0,161460706950867	0,00850643594937392
			-0,737393715541245	-0,631304979634731	0,106088735906515
1,4	1,4	2,4	0,169967142900241	0,16146070694901	0,0085064359512311
			-0,737393715541245	-0,640443279494298	0,0969504360469479
			0,169967142900241	0,15913997636864	0,0108271665316009
1,4	2,4	2,4	-0,737393715541245	-0,632070320581906	0,105323394959339
			-0,737393715541245	-0,640443279496902	0,0969504360443438
			0,169967142900241	0,161460706944241	0,0085064359560004
1,4	3,4	2,4	-0,966798192579461	-0,83810807131998	0,128690121259481
			-0,737393715541245	-0,640443279491065	0,0969504360501799
			0,169967142900241	0,161752816007101	0,00821432689313997
2,4	1,4	2,4	0,169967142900241	0,161460706948745	0,0085064359514965
			-0,737393715541245	-0,632070320582753	0,105323394958492
			-0,737393715541245	-0,640443279500499	0,0969504360407462
2,4	2,4	2,4	-0,737393715541245	-0,632070320579928	0,105323394961318
			-0,737393715541245	-0,632070320587867	0,105323394953378
			-0,737393715541245	-0,6320703205907	0,105323394950546
2,4	3,4	2,4	-0,966798192579461	-0,83810807131689	0,128690121262572
			-0,737393715541245	-0,632070320575488	0,105323394965758
			-0,737393715541245	-0,63130497962388	0,106088735917366
1,4	1,4	3,4	0,169967142900241	0,16175281599704	0,00821432690320115
			-0,966798192579461	-0,848706636968774	0,118091555610687
			0,169967142900241	0,15913997637842	0,0108271665218206
1,4	2,4	3,4	-0,737393715541245	-0,631304979633039	0,106088735908207
			-0,966798192579461	-0,848706636968139	0,118091555611322
			0,169967142900241	0,161460706948436	0,00850643595180517
1,4	3,4	3,4	-0,966798192579461	-0,83738941885571	0,129408773723751
			-0,966798192579461	-0,848706636966182	0,118091555613279
			0,169967142900241	0,161752815991246	0,0082143269089954
2,4	1,4	3,4	0,169967142900241	0,161752815999059	0,00821432690118212
			-0,966798192579461	-0,838108071321542	0,128690121257919
			-0,737393715541245	-0,640443279486506	0,0969504360547394
2,4	2,4	3,4	-0,737393715541245	-0,631304979630944	0,106088735910301
			-0,966798192579461	-0,838108071321569	0,128690121257892
			-0,737393715541245	-0,632070320570613	0,105323394970632
2,4	3,4	3,4	-0,966798192579461	-0,837389418857179	0,129408773722282
			-0,966798192579461	-0,838108071313362	0,128690121266099
			-0,737393715541245	-0,631304979625378	0,106088735915867
1,4	1,4	4,4	0,169967142900241	0,161558076634125	0,00840906626611568
			-0,307332869978419	-0,276297493127995	0,031035376850424
			0,169967142900241	0,159139976368815	0,0108271665314262
1,4	2,4	4,4	-0,737393715541245	-0,631815206927949	0,105578508613296
			-0,307332869978419	-0,276297493135405	0,0310353768430141
			0,169967142900241	0,161460706944578	0,00850643595566322
1,4	3,4	4,4	-0,966798192579461	-0,837868520495522	0,128929672083939
			-0,307332869978419	-0,276297493127655	0,0310353768507646
			0,169967142900241	0,161752816007197	0,00821432689304377
2,4	1,4	4,4	0,169967142900241	0,161558076630228	0,0084090662700135
			-0,307332869978419	-0,272304363640504	0,0350285063379153
			-0,737393715541245	-0,640443279499578	0,0969504360416679
2,4	2,4	4,4	-0,737393715541245	-0,63181520692719	0,105578508614056
			-0,307332869978419	-0,272304363649541	0,0350285063288788
			-0,737393715541245	-0,632070320590168	0,105323394951078
2,4	3,4	4,4	-0,966798192579461	-0,837868520485815	0,128929672093646
			-0,307332869978419	-0,272304363640818	0,0350285063376018
			-0,737393715541245	-0,631304979624017	0,106088735917228
time = 	1,5
x	y	z	u*	u	|u* - u|
1,4	1,4	1,4	0,169967142900241	0,160593723625312	0,00937341927492949
			0,169967142900241	0,160593723625068	0,00937341927517291
			0,169967142900241	0,160593723624314	0,00937341927592664
1,4	2,4	1,4	-0,737393715541245	-0,635746349971971	0,101647365569274
			0,169967142900241	0,160593723618572	0,00937341928166943
			0,169967142900241	0,165607162211936	0,00435998068830548
1,4	3,4	1,4	-0,966798192579461	-0,843196074910152	0,123602117669309
			0,169967142900241	0,160593723628577	0,00937341927166382
			0,169967142900241	0,166667401972711	0,00329974092753002
2,4	1,4	1,4	0,169967142900241	0,160593723621497	0,00937341927874427
			0,169967142900241	0,165607162214016	0,00435998068622465
			-0,737393715541245	-0,635746349970601	0,101647365570645
2,4	2,4	1,4	-0,737393715541245	-0,635746349969733	0,101647365571513
			0,169967142900241	0,165607162207154	0,00435998069308738
			-0,737393715541245	-0,618781896280521	0,118611819260725
2,4	3,4	1,4	-0,966798192579461	-0,843196074902405	0,123602117677056
			0,169967142900241	0,165607162216362	0,00435998068387952
			-0,737393715541245	-0,615697404587084	0,121696310954162
1,4	1,4	2,4	0,169967142900241	0,165607162214341	0,00435998068590024
			-0,737393715541245	-0,635746349971438	0,101647365569807
			0,169967142900241	0,160593723619862	0,00937341928037905
1,4	2,4	2,4	-0,737393715541245	-0,61878189628096	0,118611819260286
			-0,737393715541245	-0,635746349976205	0,101647365565041
			0,169967142900241	0,165607162211841	0,00435998068839974
1,4	3,4	2,4	-0,966798192579461	-0,822599126182251	0,14419906639721
			-0,737393715541245	-0,635746349963863	0,101647365577383
			0,169967142900241	0,166667401979879	0,00329974092036159
2,4	1,4	2,4	0,169967142900241	0,165607162211885	0,00435998068835605
			-0,737393715541245	-0,618781896283809	0,118611819257437
			-0,737393715541245	-0,635746349976089	0,101647365565156
2,4	2,4	2,4	-0,737393715541245	-0,618781896278461	0,118611819262785
			-0,737393715541245	-0,618781896288589	0,118611819252656
			-0,737393715541245	-0,618781896285184	0,118611819256061
2,4	3,4	2,4	-0,966798192579461	-0,822599126178655	0,144199066400806
			-0,737393715541245	-0,618781896271869	0,118611819269376
			-0,737393715541245	-0,615697404579621	0,121696310961625
1,4	1,4	3,4	0,169967142900241	0,166667401975238	0,00329974092500304
			-0,966798192579461	-0,843196074906807	0,123602117672654
			0,169967142900241	0,160593723627203	0,00937341927303778
1,4	2,4	3,4	-0,737393715541245	-0,615697404583069	0,121696310958177
			-0,966798192579461	-0,843196074908021	0,12360211767144
			0,169967142900241	0,165607162215165	0,00435998068507568
1,4	3,4	3,4	-0,966798192579461	-0,819281663733911	0,14751652884555
			-0,966798192579461	-0,843196074900474	0,123602117678987
			0,169967142900241	0,166667401972743	0,00329974092749771
2,4	1,4	3,4	0,169967142900241	0,166667401975009	0,00329974092523208
			-0,966798192579461	-0,82259912618375	0,144199066395711
			-0,737393715541245	-0,635746349963213	0,101647365578032
2,4	2,4	3,4	-0,737393715541245	-0,615697404581698	0,121696310959547
			-0,966798192579461	-0,822599126184681	0,14419906639478
			-0,737393715541245	-0,618781896264432	0,118611819276814
2,4	3,4	3,4	-0,966798192579461	-0,819281663734525	0,147516528844936
			-0,966798192579461	-0,822599126172676	0,144199066406785
			-0,737393715541245	-0,615697404575771	0,121696310965474
1,4	1,4	4,4	0,169967142900241	0,165960575471058	0,00400656742918284
			-0,307332869978419	-0,273623598773155	0,0337092712052643
			0,169967142900241	0,160593723618841	0,00937341928139993
1,4	2,4	4,4	-0,737393715541245	-0,61775373237547	0,119639983165775
			-0,307332869978419	-0,27362359878231	0,0337092711961089
			0,169967142900241	0,165607162211116	0,00435998068912494
1,4	3,4	4,4	-0,966798192579461	-0,821493305362238	0,145304887217223
			-0,307332869978419	-0,273623598769694	0,0337092712087251
			0,169967142900241	0,166667401980824	0,00329974091941662
2,4	1,4	4,4	0,169967142900241	0,165960575466815	0,00400656743342639
			-0,307332869978419	-0,264606836383821	0,0427260335945979
			-0,737393715541245	-0,635746349976031	0,101647365565214
2,4	2,4	4,4	-0,737393715541245	-0,617753732372894	0,119639983168352
			-0,307332869978419	-0,264606836397247	0,0427260335811727
			-0,737393715541245	-0,618781896284985	0,118611819256261
2,4	3,4	4,4	-0,966798192579461	-0,821493305351631	0,14530488722783
			-0,307332869978419	-0,26460683638394	0,0427260335944791
			-0,737393715541245	-0,615697404577602	0,121696310963643
time = 	2
x	y	z	u*	u	|u* - u|
1,4	1,4	1,4	0,169967142900241	0,161670384600346	0,00829675829989487
			0,169967142900241	0,161670384600321	0,00829675829991963
			0,169967142900241	0,161670384599769	0,00829675830047205
1,4	2,4	1,4	-0,737393715541245	-0,632516769641673	0,104876945899572
			0,169967142900241	0,161670384595318	0,0082967583049228
			0,169967142900241	0,168856482300146	0,00111066060009476
1,4	3,4	1,4	-0,966798192579461	-0,83954335580263	0,127254836776831
			0,169967142900241	0,161670384606676	0,00829675829356533
			0,169967142900241	0,170753223536153	0,000786080635912317
2,4	1,4	1,4	0,169967142900241	0,161670384597314	0,00829675830292689
			0,169967142900241	0,168856482299817	0,00111066060042381
