time = 	1
x	y	z	u*	u	|u* - u|
1,4	1,4	1,4	1,96	1,96093747923935	0,000937479239348837
			1,96	1,96093748748293	0,000937487482927102
			1,96	1,96093749389962	0,000937493899615838
1,4	2,4	1,4	5,76	5,7609374993368	0,000937499336799874
			1,96	1,96093749883668	0,000937498836684147
			1,96	1,96093749391582	0,000937493915824872
1,4	3,4	1,4	11,56	11,5609375000913	0,000937500091302113
			1,96	1,96093748867026	0,000937488670256892
			1,96	1,96093748374586	0,000937483745859335
2,4	1,4	1,4	1,96	1,96093750598013	0,000937505980125319
			1,96	1,96093748920469	0,000937489204687392
			5,76	5,76093749608566	0,000937496085664513
2,4	2,4	1,4	5,76	5,76093751555778	0,000937515557777324
			1,96	1,96093749327269	0,000937493272686662
			5,76	5,76093749537848	0,000937495378484421
2,4	3,4	1,4	11,56	11,5609375220965	0,000937522096545962
			1,96	1,96093749817458	0,000937498174577778
			5,76	5,76093749705306	0,000937497053062231
1,4	1,4	2,4	1,96	1,96093746811774	0,00093746811773876
			5,76	5,76093748069547	0,000937480695470505
			1,96	1,96093749298719	0,000937492987187039
1,4	2,4	2,4	5,76	5,76093746008007	0,000937460080067787
			5,76	5,76093749677567	0,000937496775666347
			1,96	1,96093747142908	0,000937471429075964
1,4	3,4	2,4	11,56	11,5609374447833	0,000937444783341235
			5,76	5,76093748749791	0,000937487497914447
			1,96	1,96093747194667	0,000937471946667046
2,4	1,4	2,4	1,96	1,96093750260262	0,000937502602623486
			5,76	5,76093747139854	0,000937471398538392
			5,76	5,76093749096707	0,000937490967073629
2,4	2,4	2,4	5,76	5,76093750149077	0,00093750149077465
			5,76	5,7609375026479	0,000937502647901489
			5,76	5,76093746042307	0,00093746042306897
2,4	3,4	2,4	11,56	11,560937501165	0,000937501165015675
			5,76	5,76093749832651	0,000937498326510244
			5,76	5,76093746991695	0,000937469916950207
1,4	1,4	3,4	1,96	1,96093748205942	0,000937482059419237
			11,56	11,5609375169288	0,000937516928781079
			1,96	1,96093749289909	0,000937492899089731
1,4	2,4	3,4	5,76	5,76093747024567	0,000937470245672145
